ID,name,location,date,source,x,y,notes,top,bottom,clay,silt,sand,particle_density,bulk_density,FC,PWP,FastDP,SlowDP,total_porosity,dispertion_ratio,electric_conductivity,hydraulic_conductivity,infiltration_velocity,pH,organic_matter,N,P,K,MWDV
12967,UChile-Galleguillos_3_19,NA,NA,CHLSOC,-71.23033401,-30.27095927,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.751594317,-999,-999,-999,-999
12968,UChile-Galleguillos_4_15,NA,NA,CHLSOC,-71.28934527,-30.2764474,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.722510842,-999,-999,-999,-999
12969,UChile-Galleguillos_5_5,NA,NA,CHLSOC,-71.27613217,-30.2709815,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.438748779,-999,-999,-999,-999
12970,UChile-Galleguillos_6_36,NA,NA,CHLSOC,-71.24863913,-30.25359007,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.808584991,-999,-999,-999,-999
12971,UChile-Galleguillos_7_29,NA,NA,CHLSOC,-71.28987297,-30.25778371,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.495558123,-999,-999,-999,-999
12972,UChile-Galleguillos_8_4,NA,NA,CHLSOC,-71.29001579,-30.26343945,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.936078167,-999,-999,-999,-999
12973,UChile-Galleguillos_9_24,NA,NA,CHLSOC,-71.27379676,-30.24992921,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.284606862,-999,-999,-999,-999
12974,UChile-JPF_A1,NA,NA,CHLSOC,-72.90644859,-45.06993104,NA,2,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.20672,-999,-999,-999,-999
12974,UChile-JPF_A1,NA,NA,CHLSOC,-72.90644859,-45.06993104,NA,20,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5172,-999,-999,-999,-999
12975,UChile-JPF_A10,NA,NA,CHLSOC,-72.90018114,-45.1220533,NA,13,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.10344,-999,-999,-999,-999
12975,UChile-JPF_A10,NA,NA,CHLSOC,-72.90018114,-45.1220533,NA,35,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.79216,-999,-999,-999,-999
12975,UChile-JPF_A10,NA,NA,CHLSOC,-72.90018114,-45.1220533,NA,53,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.25852,-999,-999,-999,-999
12975,UChile-JPF_A10,NA,NA,CHLSOC,-72.90018114,-45.1220533,NA,70,82,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.91324,-999,-999,-999,-999
12976,UChile-JPF_A11,NA,NA,CHLSOC,-72.9949277,-45.13635014,NA,2,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.44792,-999,-999,-999,-999
12976,UChile-JPF_A11,NA,NA,CHLSOC,-72.9949277,-45.13635014,NA,11,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0688,-999,-999,-999,-999
12976,UChile-JPF_A11,NA,NA,CHLSOC,-72.9949277,-45.13635014,NA,30,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.62064,-999,-999,-999,-999
12977,UChile-JPF_A12,NA,NA,CHLSOC,-72.9740356,-45.13983404,NA,58,69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.22092,-999,-999,-999,-999
12977,UChile-JPF_A12,NA,NA,CHLSOC,-72.9740356,-45.13983404,NA,69,89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.67204,-999,-999,-999,-999
12978,UChile-JPF_A13,NA,NA,CHLSOC,-72.96845563,-45.14080608,NA,6,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.51712,-999,-999,-999,-999
12978,UChile-JPF_A13,NA,NA,CHLSOC,-72.96845563,-45.14080608,NA,40,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.62064,-999,-999,-999,-999
12979,UChile-JPF_A14,NA,NA,CHLSOC,-72.75540122,-45.06030954,NA,7,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33.66972,-999,-999,-999,-999
12980,UChile-JPF_A16,NA,NA,CHLSOC,-72.75421385,-45.05949402,NA,11,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74.76988,-999,-999,-999,-999
12980,UChile-JPF_A16,NA,NA,CHLSOC,-72.75421385,-45.05949402,NA,37,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33.25596,-999,-999,-999,-999
12980,UChile-JPF_A16,NA,NA,CHLSOC,-72.75421385,-45.05949402,NA,53,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.51624,-999,-999,-999,-999
12980,UChile-JPF_A16,NA,NA,CHLSOC,-72.75421385,-45.05949402,NA,66,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.51664,-999,-999,-999,-999
12981,UChile-JPF_A18,NA,NA,CHLSOC,-72.82064094,-45.10490843,NA,0,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.74044,-999,-999,-999,-999
12981,UChile-JPF_A18,NA,NA,CHLSOC,-72.82064094,-45.10490843,NA,11,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.82744,-999,-999,-999,-999
